seqnames	start	end	width	strand	score	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr5	115731345	115731416	72	*	205	X392	75665	115648175	115731621	83447	-	0	inside	204	Bicdl1
chr5	124861741	124862091	351	*	97	X393	269704	124862691	124902693	40003	+	599	upstream	599	Zfp664
chr5	139150835	139150848	14	*	152	X400	19085	139017306	139150001	132696	-	833	upstream	833	Prkar1b
chr5	139325590	139325657	68	*	199	X402	231821	139271876	139325622	53747	-	0	overlapStart	0	Adap1
chr6	31573219	31573418	200	*	23	X409	105242621	31574967	31576723	1757	+	1548	upstream	1548	Gm6117
chr6	85374490	85374564	75	*	95	X411	52055	85334962	85374634	39673	-	0	inside	69	Rab11fip5
chr6	148444005	148444108	104	*	67	X422	387314	148232430	148444389	211960	-	0	inside	280	Tmtc1
chr7	7297297	7297936	640	*	77	X426	100885832	7298891	7298946	56	+	954	upstream	954	Mir5620
chr7	27446615	27446721	107	*	106	X431	233016	27447978	27466144	18167	+	1256	upstream	1256	Blvrb
chr7	122288981	122289001	21	*	394	X441	18751	122288751	122634402	345652	+	0	inside	229	Prkcb
chr7	139248342	139248380	39	*	116	X444	101631	139248482	139267975	19494	+	101	upstream	101	Pwwp2b
chr7	139248623	139248690	68	*	116	X445	101631	139248482	139267975	19494	+	0	inside	140	Pwwp2b
chr8	3694313	3694662	350	*	156	X449	14128	3681737	3694175	12439	-	137	upstream	137	Fcer2a
chr8	116733500	116733577	78	*	106	X476	75796	116574400	116732991	158592	-	508	upstream	508	Cdyl2
chr8	120114148	120114459	312	*	126	X481	234797	120114152	120165306	51155	+	0	overlapStart	0	6430548M08Rik
chr8	120229411	120229552	142	*	152	X482	434353	120204434	120228230	23797	-	1180	upstream	1180	A330074K22Rik
chr8	125670058	125670294	237	*	433	X490	74393	125669818	125673359	3542	+	0	inside	239	Map10
chr9	65391565	65391638	74	*	86	X501	74492	65388684	65391652	2969	-	0	inside	13	Kbtbd13
chr9	119579178	119579218	41	*	191	X508	20271	119483408	119579016	95609	-	161	upstream	161	Scn5a
